Tên,Giá,Thay đổi 24h,Vốn hoá thị trường,Thao tác
MAXMatr1x,"$0,10975","-1,60%","$14,32 Tr",Giao dịch|Chuyển đổi
GOGGuild of Guardians,"$0,019810","-0,79%","$13,94 Tr",Giao dịch|Chuyển đổi
PSTAKEpSTAKE Finance,"$0,027700","+15,61%","$13,85 Tr",Giao dịch|Chuyển đổi
BUZZHive AI,$0,--,"$12,88 Tr",Giao dịch|Chuyển đổi
NCNodecoin,"$0,062900","-8,03%","$12,06 Tr",Giao dịch|Chuyển đổi
FOXYFoxy,"$0,0027890","+10,54%","$11,16 Tr",Giao dịch|Chuyển đổi
MEMEFIMemefi,"$0,0011050","-2,30%","$11,05 Tr",Giao dịch|Chuyển đổi
GALFTGalatasaray Fan Token,"$1,5440","+2,25%","$10,47 Tr",Giao dịch|Chuyển đổi
VISTAEthervista,$0,--,"$10,14 Tr",Giao dịch|Chuyển đổi
CITYManchester City Fan Token,"$1,1240","+1,63%","$9,36 Tr",Giao dịch|Chuyển đổi
KP3RKeep3rV1,"$17,8100","+2,36%","$9,26 Tr",Giao dịch|Chuyển đổi
ARTYArtyfact,"$0,39970","+0,20%","$8,52 Tr",Giao dịch|Chuyển đổi
MXCMXC,"$0,0027900","-5,42%","$6,80 Tr",Giao dịch|Chuyển đổi
GPTQnA3.AI,"$0,027130","+2,53%","$5,77 Tr",Giao dịch|Chuyển đổi
GOALTopGoal,"$0,0099800","-2,54%","$5,35 Tr",Giao dịch|Chuyển đổi
RADARDappRadar,"$0,0036210","+1,94%","$4,66 Tr",Giao dịch|Chuyển đổi
POLYDOGEPolyDoge,"$0,0000000052040","-0,12%","$4,44 Tr",Giao dịch|Chuyển đổi
SPURSTottenham Hotspur,"$0,66120","+0,26%","$4,29 Tr",Giao dịch|Chuyển đổi
LBRLybra Finance,"$0,046080","-2,19%","$3,72 Tr",Giao dịch|Chuyển đổi
ARGArgentine Football Association Fan Token,"$0,70100","-0,86%","$3,53 Tr",Giao dịch|Chuyển đổi
TRATrabzonspor Fan Token,"$0,51850","+1,13%","$3,39 Tr",Giao dịch|Chuyển đổi
ZEROZeroLend,"$0,00012939","-4,38%","$3,23 Tr",Giao dịch|Chuyển đổi
XRXraders,"$0,10350","-7,84%","$2,67 Tr",Giao dịch|Chuyển đổi
LAMBLambda,"$0,0012360","+3,09%","$2,30 Tr",Giao dịch|Chuyển đổi
SSWPSuiswap,"$0,00018400","+5,69%","$1,84 Tr",Giao dịch|Chuyển đổi
PORPortugal National Team Fan Token,"$0,80180","-2,73%","$1,61 Tr",Giao dịch|Chuyển đổi
MENGOFlamengo Fan Token,"$0,11800","-2,64%","$968,60 N",Giao dịch|Chuyển đổi
NAVXNAVI Protocol,$0,--,"$0,00",Giao dịch|Chuyển đổi
MELANIAMelania Meme,$0,--,"$0,00",Giao dịch|Chuyển đổi
ZAILGOZailgo,$0,--,"$0,00",Giao dịch|Chuyển đổi
KMNOKamino,$0,--,"$0,00",Giao dịch|Chuyển đổi
OKSOLOKX Liquid Staked Solana,"$144,68","+1,69%","$0,00",Giao dịch|Chuyển đổi
CHILLGUYJust a chill guy,$0,--,"$0,00",Giao dịch|Chuyển đổi
WHYWhy,$0,--,"$0,00",Giao dịch|Chuyển đổi
RIFRifampicin,$0,--,"$0,00",Giao dịch|Chuyển đổi
LUCEOfficial Mascot of the Holy Year,$0,--,"$0,00",Giao dịch|Chuyển đổi
BANComedian,$0,--,"$0,00",Giao dịch|Chuyển đổi
CKBNervos Network,$0,--,"$0,00",Giao dịch|Chuyển đổi
HOPPYHoppy,$0,--,"$0,00",Giao dịch|Chuyển đổi
SCIHUBSci-hub,$0,--,"$0,00",Giao dịch|Chuyển đổi
MAJORMajor,"$0,14610","+1,95%","$0,00",Giao dịch|Chuyển đổi
GNONGNON,$0,--,"$0,00",Giao dịch|Chuyển đổi
CATSCATS,$0,--,"$0,00",Giao dịch|Chuyển đổi
XX empire,"$0,000050580","-0,55%","$0,00",Giao dịch|Chuyển đổi
ULTIUltiverse,"$0,0040160","+1,75%","$0,00",Giao dịch|Chuyển đổi
RUNECOINRSIC•GENESIS•RUNE,"$0,00083920","+2,78%","$0,00",Giao dịch|Chuyển đổi
MILOMilo Inu,"$0,000000012140","-1,30%","$0,00",Giao dịch|Chuyển đổi
BETHBeacon ETH,"$2.222,00","+1,46%","$0,00",Giao dịch|Chuyển đổi
